Consumer_Defensive       OTLY           : 1636.00%  燕麦奶, 奶制品, 植物奶, 瑞典
Communication_Services   SNAP.*         :   1.75%  Snapchat, 社交媒体, 聊天软件, 即时通讯
Energy                   PSX.++         :   1.75%  菲利普斯66, 康菲石油分拆, 炼油, 化工, 石油
Technology               DT             :   1.75%  云监控, 企业软件, 应用性能管理, 基础设施监控
Consumer_Defensive       TGT            :   1.74%  塔吉特, 零售, 百货, 商店, 连锁, 美国
Consumer_Cyclical        BABA.20.*.++   :   1.74%  阿里巴巴, 电子商务, 阿里云, 蚂蚁金服, 支付宝, 淘宝, 中国
Technology               MKSI           :   1.74%  半导体, 光学仪器, 真空技术
Consumer_Cyclical        MAR            :   1.73%  万豪, 酒店, 喜来登, 丽思卡尔顿
Financial_Services       AXS            :   1.72%  保险, 再保险
Financial_Services       TFC.*.++       :   1.71%  银行, 抵押贷款
Consumer_Cyclical        CAVA.++        :   1.71%  地中海饮食, 连锁, 牛排, 餐饮, 食品
Healthcare               ADMA           :   1.70%  生物制药, 免疫疗法, 免疫球蛋白, 治疗免疫疾病, BIVIGAM, ASCENIV
Technology               PI.+           :   1.70%  RFID, 无线电频率识别, 标签芯片, RFID阅读器
Healthcare               BBIO.20.+      :   1.69%  孟德尔疾病, 淀粉样心肌病, 医疗保健
Technology               AMKR.++        :   1.69%  半导体, 封装测试, AI
Industrials              OSK            :   1.68%  国防, 特种车辆, 装甲车, 消防车, 卡车, 政府服务, 政府承包商
Technology               HPQ.*.++       :   1.66%  AI, 惠普, AI服务器, 服务器, 个人电脑
Healthcare               AZN.*          :   1.66%  阿斯利康, 优赫得®Enhertu, 德曲妥珠单抗, 度伐利尤单抗, 泰瑞沙Tagrisso, 英飞利Imfinzi
Technology               AMAT.*         :   1.65%  应用材料, 半导体, 传统半导体, 人工智能芯片, 材料
Technology               SWKS           :   1.65%  模拟与混合信号半导体, 半导体, 射频芯片, 功率放大器, 曾为苹果供货
Healthcare               ZBH.++         :   1.65%  骨科手术, 关节置换, 膝关节髋关节置换
Financial_Services       EG             :   1.65%  保险, 再保险
Financial_Services       GL             :   1.65%  保险, 人寿保险, 美国
Healthcare               DXCM.*.++      :   1.64%  德康医疗, 血糖监测, 医疗器械, 医疗
Technology               PSTG.++        :   1.64%  数据存储, 闪存, AI, 美国, QLC, 存储器
Energy                   OXY.18.*.++    :   1.62%  巴菲特, 西方石油, 石油
Technology               CDW.+          :   1.62%  信息技术, IT, IT解决方案
Energy                   MGY.18.++      :   1.62%  德克萨斯州, 石油天然气勘探开发
Technology               CVLT.++        :   1.62%  康沃系统, 数据管理, 数据保护
Healthcare               NUVL           :   1.62%  癌症, 小分子激酶抑制剂, 肺癌药物
Technology               TER.++         :   1.62%  泰瑞达, 半导体测试, 为无线电子提供测试解决方案, 自动测试系统, 芯片测试
Technology               ARW.++         :   1.61%  电子元器件, 企业计算解决方案
Real_Estate              REXR           :   1.61%  工业房地产, 投资信托, 房地产
Financial_Services       LPLA.++        :   1.61%  财富管理, 投资顾问, 经纪服务, 美国
Communication_Services   OMC.++         :   1.61%  广告, 市场营销, 企业传播, 公关
Technology               STX            :   1.61%  希捷, 数据存储, 硬盘
Industrials              ITW            :   1.60%  工业工具, 工业设备, 工业
Energy                   TDW            :   1.60%  海上钻井, 潮水公司, 供应船, 石油行业
Consumer_Cyclical        VFS.20.+       :   1.59%  越南, 电动汽车, 汽车
Industrials              GGG            :   1.59%  工业设备制造商, 流体处理系统, 涂料喷涂设备
Healthcare               CRL.19         :   1.58%  生物制药, 提供临床实验室服务
Energy                   SUN            :   1.58%  汽油柴油分销, 美国
Utilities                FE             :   1.58%  电力, 发电, 输电, 配电, 美国
Industrials              WCC.++         :   1.57%  电气产品, 工业电器, 工业
Technology               SONY.*.++      :   1.57%  索尼, 游戏机, 日本, 电视机, 影像
Technology               ESTC           :   1.57%  荷兰, 数据分析, 企业搜索, AI
Consumer_Cyclical        LULU           :   1.57%  瑜伽服, 加拿大, 服装, 运动服, 时尚运动品牌, 时尚
Consumer_Defensive       PG.*           :   1.56%  宝洁, 消费品, 家具生活用品, Tide汰渍, Pampers, Oral-B, Gillette吉列
Communication_Services   MTCH.++        :   1.56%  Tinder, 在线约会, 约会软件, Hinge
Financial_Services       RY             :   1.55%  皇家银行, 加拿大
Energy                   ET.*.++        :   1.55%  天然气, 原油, 管道运输, 压缩储存
Consumer_Cyclical        RH.++          :   1.55%  奢侈家具, 家具, 家居装饰, 照明
Consumer_Defensive       KOF.20         :   1.55%  可口可乐瓶装, 可口可乐, 业务覆盖南美, 拉丁美洲
Energy                   CCJ.20         :   1.55%  铀矿, 铀, 核能, 加拿大, 哈萨克斯坦
Basic_Materials          RGLD           :   1.55%  黄金金融, 黄金特许权, 黄金, 贵金属
Utilities                GEV            :   1.54%  可再生能源, 电力, 能源, 核电
Real_Estate              CCI            :   1.53%  冠城国际, 塔楼租赁, 小型基站, 光纤网络
Basic_Materials          AEM            :   1.53%  加拿大, 黄金, 贵金属, 黄金开采生产
Financial_Services       COLB           :   1.53%  哥伦比亚银行系统, 区域性银行, 抵押贷款, 美国
Healthcare               LLY            :   1.53%  礼来, 减肥药, GLP-1, Zepbound, tirzepatide, 美国
Industrials              SPXC           :   1.52%  暖通空调, 工业, 冷却塔, 锅炉加热, 检测与测量
Technology               GWRE           :   1.52%  企业软件, 为保险赋能, 保险行业软件, SaaS
Financial_Services       BAM.++         :   1.52%  布鲁克菲尔德, 资产管理
Financial_Services       STEP.++        :   1.52%  私募股权投资, 资产管理, 金融
Healthcare               RPRX           :   1.51%  生物制药特许权买家, 医药创新投资者, AI医疗
Real_Estate              MAC            :   1.51%  马塞里奇, 房地产, 投资信托, 购物中心
Financial_Services       AIG            :   1.51%  国际集团, 保险, 金融, 美国
Financial_Services       BXSL           :   1.51%  黑石, 基金, 担保贷款, 贷款, 另类投资
Utilities                ETR.18.+       :   1.50%  电力, 发电, 第二大, 核电, 天然气发电, 美国
Industrials              DOV            :   1.50%  工程系统, 燃料解决方案
Financial_Services       WTFC           :   1.50%  银行, 贷款, 信托, 信达金融
Real_Estate              INVH           :   1.50%  房地产, 单户住宅, 房屋出租, 投资信托
Technology               DBX.20.++      :   1.49%  云存储, 文件同步
Basic_Materials          NTR.19.++      :   1.49%  加拿大, 农业, 肥料, 种子, 化肥
Financial_Services       AJG            :   1.49%  保险, 保险经纪, 风险管理, 财产保险, 意外保险
Energy                   MPLX.++        :   1.49%  中游能源基础设施, 石油运输物流
Consumer_Cyclical        TPR.++         :   1.48%  coach, 时尚, 奢侈品, 手袋, 包
Utilities                PEG            :   1.48%  电力, 天然气, 核电
Energy                   CSAN.+         :   1.47%  巴西, 天然气, 糖
Industrials              FSS            :   1.47%  环境解决方案, 安保系统, 美国
Technology               TDY            :   1.46%  仪器仪表, 数字成像, 航空航天, 国防
Technology               TENB           :   1.46%  网络安全, 威胁情报, 漏洞分析
Healthcare               ATR.++         :   1.46%  包装交付解决方案供应商
Consumer_Cyclical        RL.++          :   1.45%  拉夫劳伦, 时尚, 服装, 美国
Consumer_Cyclical        WSM.++         :   1.45%  零售, 高端厨具, 家居用品, 美国
Financial_Services       SHG            :   1.45%  新韩金融集团, 银行, 韩国首尔
Industrials              AIT.++         :   1.45%  应用工业技术, 工业零部件, 技术服务
Technology               QXO            :   1.44%  商业应用, 信息技术, 企业软件, 赋能制造分销服务行业
Technology               NSIT           :   1.44%  云计算, 信息技术
Technology               U.20.*.++      :   1.44%  3D引擎, 游戏开发, Meme, 模因
Technology               FTV            :   1.44%  专业仪器, 工业医疗技术
Energy                   WMB.*          :   1.44%  天然气, 液化天然气, 储存运输输送公司, 美国
Real_Estate              EPRT.++        :   1.44%  房地产投资信托, 物业出租管理
Industrials              NDSN.19        :   1.43%  粘合剂, 涂料, 密封剂, 工业
Industrials              CMI.++         :   1.43%  康明斯, 发动机, 发电设备, 动力设备制造, 发电机
Industrials              ODFL           :   1.43%  运输, 物流, 美国, LTL, 货运
Financial_Services       FUTU.++        :   1.43%  富途牛牛, 美股交易平台, moomoo, 券商, 互联网券商, 中国
Consumer_Cyclical        CCK            :   1.42%  食品包装, 金属罐
Financial_Services       SCHW.*         :   1.42%  嘉信理财, 证券经纪, 银行
Healthcare               BRKR           :   1.42%  生物技术, 科学仪器, 仪器制造, 仪器设备
Technology               DOX.++         :   1.42%  云计算, 软件服务, 软件
Financial_Services       CRVL           :   1.41%  保险, 医疗费用控制, 工作场所伤害管理
Financial_Services       TPG.+          :   1.41%  私募股权, 另类投资
Real_Estate              IRT            :   1.41%  房地产, 投资信托, 多户住宅, 美国
Industrials              AAON.++        :   1.41%  暖通空调, 建材, 数据中心, AI
Communication_Services   WPP.20         :   1.41%  第一大, 公关, 传媒, 广告, 营销, 英国;
Industrials              JOBY.19.*.++   :   1.40%  电动垂直起降飞行器, 飞行器, 飞机, 航空, 丰田投资
Industrials              KEX.++         :   1.40%  石油驳船, 水路运输, 柴油发动机服务, 驳船, 运输, 拖船, 运输液体散货
Technology               IDCC           :   1.40%  专利授权, 无线, 通信, 物联网, 5G, WIFI
Industrials              LECO.++        :   1.40%  林肯电气, 焊接切割, 汽车自动化
Financial_Services       RF.*.++        :   1.40%  区域性银行, 金融服务, 美国
Financial_Services       CNS.++         :   1.40%  资产管理, 投资管理, 房地产投资信托, 基础设施, 房地产证券化, 自然资源股权
Utilities                PPL            :   1.39%  电力, 发电, 输电, 配电, 天然气
Financial_Services       PNFP.++        :   1.39%  区域性银行, 金融服务, 贷款, 抵押贷款, 美国
Financial_Services       LU.++          :   1.39%  陆金所, 零售信贷, 财富管理, 隶属于中国平安, 中国
Industrials              HUBB           :   1.39%  哈勃集团, 电气系统, 公共事业
Industrials              RBC.+          :   1.39%  精密轴承, 航空航天, 国防工业, 轴承, 工业, 国防
Consumer_Defensive       LRN.+          :   1.38%  在线教育, K12, 学习服务, 美国
Consumer_Defensive       TSN            :   1.38%  泰森食品, 鸡肉牛肉猪肉, 食品
Consumer_Defensive       KHC.*          :   1.38%  卡夫亨氏, 食品, 番茄酱, 沙拉酱, 奶酪, 冷冻披萨
Utilities                NJR            :   1.38%  天然气分销, 能源基础设施, 天然气, 能源, 清洁能源
Technology               ASX.*.++       :   1.38%  台湾日月光, 半导体, 芯片封装, 芯片测试
Technology               WIT.*          :   1.38%  IT外包, 外包服务, 印度
Basic_Materials          WLK.++         :   1.37%  化学品, 塑料, 乙烯, 烯烃
Consumer_Cyclical        BERY           :   1.37%  塑料包装, 包装, 无纺布, 特种材料, 薄膜, 尿不湿, 卫生巾, 湿巾
Real_Estate              O              :   1.36%  商业地产, 净租赁, 知名租户7-eleven
Financial_Services       KEY.*.+        :   1.35%  银行, 金融服务
Industrials              EMR            :   1.35%  艾默生电气, 工业自动化, 暖风空调, 爱默生
Industrials              GPN.+          :   1.35%  支付解决方案
Energy                   DTM            :   1.35%  天然气, 天然气液体NGL, 能源
Financial_Services       PNC            :   1.35%  银行, 贷款, 金融
Energy                   CTRA           :   1.34%  石油, 天然气, 勘探开发, 页岩气
Healthcare               HUM.+          :   1.34%  哈门那, 医疗保险
Financial_Services       ONB.++         :   1.34%  历史悠久银行, 抵押贷款, 银行, 美国
Real_Estate              CUZ            :   1.34%  房地产, 投资信托, 办公楼, 美国
Financial_Services       SAN.*.+        :   1.33%  桑坦德银行, 西班牙
Healthcare               EHC.++         :   1.33%  康复医院, 家庭健康护理, 临终关怀, 医院, 护理
Energy                   NXE.*          :   1.32%  核电, 铀矿, 加拿大, 矿产, 铀, 核能
Industrials              ITT            :   1.31%  为能源、交通和工业市场提供高度工程化的关键部件和定制技术解决方案
Consumer_Cyclical        GPK.++         :   1.31%  纸质包装, 包装
Healthcare               ICLR.19.+      :   1.31%  爱尔兰, 生物制药, 医疗器械
Healthcare               OGN            :   1.31%  健康护理, 生物仿制药, 默克分拆, 药品经销商, 长效避孕药Nexplanone
Utilities                WTRG           :   1.31%  水务, 废水, 天然气服务
Basic_Materials          SSD.++         :   1.30%  建筑材料, 连接组件, 辛普森制造, 美国
Industrials              FLS.18         :   1.30%  泵, 阀门, 机械密封, 赋能核电站, 工业
Financial_Services       CNA            :   1.29%  保险
Basic_Materials          RIO.19.++      :   1.29%  力拓, 采矿, 铁矿石
Financial_Services       STT.++         :   1.29%  道富银行, 托管银行, 资产管理, 美国
Basic_Materials          DD             :   1.29%  杜邦, 材料, 化学品
Basic_Materials          PPG            :   1.28%  涂料, 化学品
Financial_Services       OMF.++         :   1.28%  个人贷款, 保险, 金融服务
Financial_Services       RYAN.20.++     :   1.28%  保险经纪, 保险代理
Industrials              ETN.+          :   1.28%  电气化, 流体液压组件
Industrials              ROAD           :   1.28%  基础设施, 公路桥梁, 建筑材料, 美国
Technology               BMI            :   1.27%  水表, 流量计量
Financial_Services       MS.+           :   1.27%  摩根士丹利, 投资银行, 证券, 财富管理
Energy                   CQP.20         :   1.27%  液化天然气, LNG, 天然气, 能源
Industrials              LMT            :   1.26%  洛克希德马丁, 五大军事承包商之一, 国防, 军事, 武器, 政府承包商, 军工, 政府服务, 美国
Financial_Services       JXN.19.++      :   1.26%  退休储蓄, 可变年金, 固定年金
Energy                   EOG.++         :   1.26%  页岩油田, 石油天然气, 能源, 美国
Energy                   NFG            :   1.26%  天然气, 生产, 收集, 运输, 储存, 分销
Technology               SRAD.++        :   1.26%  瑞士, 体育, 数据分析, 体育博彩, 博彩
Consumer_Defensive       COTY.*         :   1.25%  科蒂集团, 美容, 香水, 化妆品
Energy                   CIVI.++        :   1.25%  石油, 天然气, 油气田, 页岩气
Basic_Materials          MLM            :   1.25%  建筑材料, 石灰石, 混凝土
Industrials              MSM            :   1.25%  工业产品, 分销商, 金属加工维修
Energy                   BKR.*.+        :   1.25%  石油, 天然气, 油田服务, 油井设备
Industrials              BAH            :   1.24%  管理信息, 技术咨询, 咨询, 政府服务, 政府承包商
Energy                   DINO.20.++     :   1.24%  石油精炼, 可再生能源
Energy                   COP.*          :   1.24%  康菲石油, 天然气, 能源
Healthcare               BAX.++         :   1.23%  透析设备, 医疗产品, 营养输液, 医疗设备, 医疗器械
Industrials              MLI.++         :   1.23%  穆勒工业, 管道产品, 工业金属, 黄铜棒, 金属
Technology               NTAP.+         :   1.23%  云数据, 云存储, 网络存储
Utilities                CWEN           :   1.22%  太阳能, 风电, 发电厂
Technology               PEGA           :   1.22%  CRM, BPM, 软件服务
Utilities                KEP.21.++      :   1.22%  韩国电力公社, 发电, 输电, 配电
Healthcare               GSK            :   1.22%  葛兰素史克, 医疗保健, 制药, 疫苗, 医疗器械, 诊断试剂, 英国, Blenrep
Financial_Services       JPM.*.++       :   1.21%  摩根大通, 金融, 投资银行, 资产管理, 美国
Consumer_Cyclical        WHR.++         :   1.21%  惠而浦, 家电制造商, 洗衣机, 冰箱
Healthcare               INCY.++        :   1.21%  生物制药, 肿瘤, 炎症, 自身免疫
Financial_Services       BK.*.++        :   1.21%  纽约梅隆银行, 银行, 美国
Industrials              J              :   1.20%  工程设计, 建筑, 运营, 维护
Utilities                AWK.19         :   1.20%  水务, 废水处理
Industrials              IR             :   1.20%  工业设备, 空气压缩机, 泵阀门, 工业, 工业制造
Healthcare               THC            :   1.20%  医院运营, 医院, 诊所服务, 医疗保健
Utilities                CNP.20.*       :   1.20%  电力, 天然气
Energy                   AROC.18.++     :   1.19%  天然气压缩, 能源, 美国
Industrials              ACM            :   1.19%  建筑, 工程, 施工, 运营, 基础设施
Consumer_Cyclical        GNTX.+         :   1.18%  真泰克, 后视镜, 玻璃, 智能玻璃, 飞机调光玻璃
Financial_Services       GBCI           :   1.18%  区域性银行, 抵押贷款, 美国
Industrials              CNI            :   1.18%  加拿大, 国家铁路, 铁路, 货运, 物流
Financial_Services       PIPR.++        :   1.18%  投资银行, 资产管理, 机构券商, 金融服务, 美国
Financial_Services       OBDC.19.+      :   1.17%  直接贷款, 面向美国中型企业, 资产管理
Basic_Materials          GFI            :   1.17%  金田, 南非, 黄金开采, 黄金, 贵金属, 加纳澳大利亚秘鲁拥有矿山
Communication_Services   PINS.*         :   1.16%  图片分享, 社交媒体, 视觉搜索
Consumer_Cyclical        DOOO.++        :   1.16%  加拿大, 雪地摩托, 水上摩托, 摩托艇, 利率敏感
Industrials              SNA            :   1.16%  专业工具, 专业设备制造
Financial_Services       BX.+           :   1.15%  黑石集团, 私募股权, 房地产, 对冲基金
Financial_Services       CMA.+          :   1.15%  银行, 金融服务, 抵押贷款
Healthcare               MMSI           :   1.15%  医疗器械, 心脏胃肠肺胸肾内血管介入设备, 介入设备
Technology               TRMB.19.++     :   1.14%  GPS定位技术解决方案
Consumer_Cyclical        STLA.*.++      :   1.14%  汽车制造, 菲亚特, 克莱斯勒, 标致雪铁龙, 荷兰, 汽车, 意大利
Financial_Services       MORN           :   1.14%  金融服务, 投资研究分析
Healthcare               ROIV.++        :   1.14%  生物技术, 制药
Healthcare               TFX.20         :   1.13%  泰利福, 医疗器械, 介入治疗设备, 冠状动脉手术
Consumer_Cyclical        AVY            :   1.13%  压敏标签, 材料, 包装, 材料科学
Technology               MTSI.++        :   1.13%  射频微波组件, 模拟芯片, 光纤, 无线传感, AI
Industrials              SARO           :   1.13%  航空航天, 发动机维护, 发动机修理, 发动机
Consumer_Cyclical        HLT            :   1.13%  希尔顿, 酒店, 度假村
Consumer_Cyclical        FND.20         :   1.13%  硬表面地板, 地板, 家装, 装修, 瓷砖
Healthcare               GILD.*         :   1.12%  吉利德科学, 生物制药, 抗艾滋病毒
Financial_Services       FCNCA.+        :   1.12%  银行, 财富管理, 信托, 美国
Basic_Materials          MT             :   1.12%  米塔尔, 电气钢, 钢铁, 汽车钢材, 纸薄钢材, 印度
Healthcare               NVS            :   1.12%  诺华, 癌症, 心血管疾病药物, 仿制药, 山德士Sandoz, 子公司爱尔康Alcon, 瑞士, 欧洲
Healthcare               DOCS.++        :   1.12%  医疗保健, 医疗人士的LinkedIn, 社交网络, 网络平台, 远程医疗
Communication_Services   PHI.++         :   1.11%  菲律宾, 电信, 长途电话
Financial_Services       PFG            :   1.11%  金融集团, 退休金计划, 保险
Technology               MNDY           :   1.11%  企业软件, 工作流程, 项目管理, 以色列, 云计算, 软件平台
Technology               ITRI           :   1.10%  水资源, 智能电表, 服务于公共事业类, 公共事业
Industrials              RTX.*          :   1.10%  雷神, 航空航天, 国防, 五大军事承包商之一, 军工, 武器, 美国
Industrials              DRS.20         :   1.10%  以色列, 国防, 军事技术, 美国
Technology               NOW            :   1.10%  云计算, 企业自动化, 人力资源, IT服务
Consumer_Cyclical        BYD.++         :   1.10%  赌场, 酒店管理, 美国
Communication_Services   NTES.20        :   1.09%  网易, 中国, 游戏, 有道, 音乐
Healthcare               HOLX           :   1.09%  豪洛捷, 早期检测疾病, 提高女性健康, 乳腺癌, 健康
Industrials              ASR            :   1.09%  墨西哥, 东南机场, 机场管理
Technology               TEL            :   1.08%  连接器, 传感器, 电缆
Financial_Services       MFC.19.++      :   1.08%  加拿大, 保险
Healthcare               GMED.20        :   1.07%  医疗器械, 脊柱外科, 椎间融合术
Industrials              GATX.+         :   1.07%  铁路, 车辆, 租赁, 管理
Healthcare               JAZZ           :   1.07%  爱尔兰, 嗜睡症, 癌症, 精神疾病
Energy                   MTDR.18.++     :   1.07%  原油, 天然气, 勘探开采, 页岩气, 美国
Utilities                CMS            :   1.06%  电力, 天然气
Financial_Services       AON            :   1.06%  怡安, 保险, 美国
Utilities                ATO            :   1.06%  天然气, 管道, 输送, 存储, 分销, 公共事业, 美国
Financial_Services       MAIN.++        :   1.06%  商业发展公司, BDC, 中小企业, 债务融资, 股权投资
Industrials              DCI            :   1.05%  发动机过滤, 工业过滤器
Basic_Materials          CMC.++         :   1.05%  钢铁, 金属回收, 特朗普概念, 美国, 金属
Technology               AMD.*.++       :   1.04%  半导体, 显卡, 芯片, 数据中心, AI
Consumer_Cyclical        LVS.*.++       :   1.04%  拉斯维加斯金沙集团, 赌场, 度假村
Energy                   CHRD.19.++     :   1.04%  原油, 天然气, 勘探开发
Energy                   SHEL           :   1.03%  荷兰皇家壳牌, 石油, 石化, 能源, 深海钻探, vito平台
Consumer_Cyclical        LKQ.20.++      :   1.02%  汽车零部件, 维修保养, 美国
Healthcare               IDXX           :   1.02%  动物健康诊断, 水牛奶检测
Basic_Materials          IFF.18         :   1.02%  香料, 香精, 美国
Technology               GRMN.19.++     :   1.02%  佳明, 瑞士, GPS, 手表, 可穿戴, 全球定位设备
Consumer_Cyclical        TSCO.++        :   1.02%  拖拉机供应公司, 农用设备, 牲畜饲料, 美国
Real_Estate              NNN            :   1.01%  专注于零售物业的房地产投资信托, 房地产
Consumer_Cyclical        CHWY.*         :   1.01%  宠物, 宠物食品, 宠物用品, 在线零售, 模因, meme
Energy                   EXE.++         :   1.01%  天然气, 由切萨皮克能源公司Chesapeake和西南能源公司, SouthwesternEnergy2024年合并而成, 美国, 页岩气
Energy                   TRP            :   1.00%  原油, 天然气, 管道运输, 能源基础设施, 能源
Technology               KLAC           :   1.00%  科磊, 半导体, 印刷电路板PCB, AI
Technology               FIS            :   1.00%  金融领域, IT技术解决方案及服务, IT
Financial_Services       WFC.*.+        :   1.00%  富国银行, 银行, 美国
Energy                   LNG.20.++      :   1.00%  液化天然气, LNG, 能源, 美国
Basic_Materials          ESI.18.++      :   1.00%  电子硬件领域, 材料加工技术, 化学品, 材料, 特种化学品
Consumer_Cyclical        AMCR.*         :   0.99%  柔性包装, 刚性塑料容器, 专用纸包装, 烟草包装
Consumer_Defensive       LOPE.19.++     :   0.99%  教育服务, 大峡谷大学, 在线教育, 教育, 美国
Consumer_Cyclical        LTH            :   0.99%  高端健身俱乐部, 健康管理社区会所
Financial_Services       PB             :   0.99%  银行, 美国
Consumer_Cyclical        ULTA.+         :   0.99%  美妆购物, 美容沙龙, 化妆品美甲护发
Basic_Materials          RPM.++         :   0.99%  涂料, 密封剂, 建筑材料
Technology               TSEM           :   0.99%  塔尔, 半导体, 以色列, 模拟电路, 晶圆代工, 射频芯片
Healthcare               BMY.*          :   0.98%  百时美施贵宝, 医药, 医疗, 生物制药, Opdivo, 非小细胞肺癌
Real_Estate              ARE            :   0.98%  亚历山大房地产, 生命科学领域, 房地产投资信托, 房地产
Energy                   CVE.20.*       :   0.98%  原油, 加拿大, 天然气, 石油, NGL
Healthcare               SNN            :   0.97%  骨科, 运动医学, 伤口护理, 医疗保健
Financial_Services       FNB.++         :   0.97%  社区银行, 金融, 抵押贷款, 美国
Financial_Services       CFG.+          :   0.97%  第14大, 银行, 抵押贷款, 美国
Energy                   HES.++         :   0.97%  第四大, 石油, 天然气, 液化天然气, 能源, 美国
Utilities                VST.*.+        :   0.97%  核电, 德州电力, 天然气, 伯克希尔哈撒韦, 美国
Financial_Services       CME            :   0.97%  芝加哥商品交易所集团, 期货, 期权交易市场
Healthcare               MCK            :   0.97%  麦克森, 药品分销, 医疗设备, 医疗器械, 药品, 医疗供应链, 零售药房
Energy                   CNQ.*          :   0.96%  轻质原油, 重油, 加拿大, 液体天然气
Financial_Services       HBAN.*.++      :   0.96%  美国亨廷顿银行, 区域性银行, 银行
Technology               BSY.++         :   0.95%  建筑行业, 工程领域, 软件开发
Energy                   VRN.*          :   0.95%  天然气, 石油, 勘探, 生产, 页岩气
Healthcare               REGN           :   0.95%  再生元制药, 生物制药, 眼科, 皮炎哮喘
Industrials              NSC            :   0.95%  诺福克南方, 货运, 铁路, 运输
Technology               PCOR.++        :   0.95%  企业软件, 建筑项目管理, 房地产行业, 云计算
Financial_Services       VOYA.++        :   0.95%  退休, 人寿保险, 投资, 节税, 拆分自荷兰国际集团
Financial_Services       SSB            :   0.94%  银行, 金融服务, 抵押贷款
Consumer_Defensive       BRBR           :   0.94%  高蛋白饮料, 饮料, 蛋白质棒
Financial_Services       CIB.19.++      :   0.93%  哥伦比亚银行, 业务覆盖拉丁美洲
Financial_Services       FSK.+          :   0.93%  直接贷款, 夹层融资, 股权投资
Industrials              JCI.+          :   0.92%  江森, 自控, 暖通空调, 数据中心冷却, 汽车座椅, AI
Healthcare               PEN.18         :   0.92%  中风介入治疗, 血栓取出
Energy                   PR.*           :   0.92%  石油, 天然气, 勘探开发, 页岩气
Consumer_Cyclical        SLGN.++        :   0.91%  刚性包装, 瓶盖, 容器, 服务于金宝汤雀巢, 包装
Industrials              MSA            :   0.91%  安全头盔, 听力和呼吸保护, 气体和火焰检测仪
Healthcare               CRNX           :   0.91%  内分泌疾病, 制药, 药物, 肢端肥大症, 神经内分泌肿瘤
Consumer_Cyclical        SCI            :   0.91%  殡葬, 火化, 墓地
Financial_Services       FITB.++        :   0.91%  五三银行, 美国
Consumer_Cyclical        EXPE           :   0.90%  Hotels.com, 在线旅游, 酒店, 机票, 租车, 旅游
Financial_Services       VLY.++         :   0.90%  硅谷国家银行, 银行, 金融服务, 贷款, 理财
Industrials              ZWS            :   0.90%  水管理解决方案, 管道系统, 阀门
Financial_Services       MTB.+          :   0.90%  制商银行, 美国
Industrials              ERJ.++         :   0.90%  飞机制造, 世界第三大, 巴西, 飞机
Industrials              OTIS           :   0.90%  奥的斯, 电梯
Basic_Materials          CF.19.++       :   0.90%  化肥, 氨, 尿素
Financial_Services       SF.++          :   0.90%  金融, 银行, 财富管理
Healthcare               ISRG.++        :   0.90%  直觉外科, 机器人辅助, 达芬奇手术系统
Industrials              DLB            :   0.90%  杜比实验室, 音频, 影院
Energy                   CNX            :   0.89%  天然气, 页岩气, 煤层气, 美国, 能源行业
Financial_Services       MET            :   0.89%  大都会人寿保险, 年金, 退休福利
Financial_Services       AFL            :   0.89%  美国家庭人寿保险, 日本分公司, 人寿保险, 补充保险, 健康保险, 美国
Real_Estate              SUI.18         :   0.89%  房地产, 房车度假村, 露营地
Energy                   BP.*.+         :   0.89%  英国石油, 能源, 石油
Utilities                ED.20          :   0.88%  爱迪生联合电气, 电力, 天然气
Real_Estate              GLPI.20        :   0.88%  以三网租赁安排将地产租赁给赌场博彩运营商来获得租金收入
Financial_Services       FDS            :   0.88%  金融信息, 数据服务, 分析工具, 数据分析, 软件平台
Communication_Services   KT.++          :   0.88%  韩国, 第二大, 电信运营商
Industrials              GE             :   0.87%  通用电气, 航空发动机, 发电机, 医疗成像, 发动机
Industrials              FIX.20         :   0.86%  机械电气, 建筑系统, 暖风空调, AI, 机械
Basic_Materials          PAAS.19        :   0.86%  泛美白银, 银矿开采, 白银, 贵金属
Technology               ADBE.+         :   0.86%  设计, 软件, 创意, 修图, 图片编辑, 视频编辑, AI, Photoshop, Acrobat Reader, Premier Pro
Consumer_Defensive       OLLI.++        :   0.86%  折扣零售, 低价商品, 低价, 零售, 美国, 商店, 连锁
Industrials              XYL            :   0.86%  水处理, 水泵, 水质检测
Technology               MPWR           :   0.85%  芯源系统, 集成电路, 半导体, 电源转换器, 电压调节模块, 电源管理IC, AI, 芯片
Real_Estate              AMH.20         :   0.85%  房地产, 住宅出租, 住宅租赁, 租赁
Basic_Materials          VMC.18.++      :   0.85%  建筑骨料, 建筑材料, 砂石碎石沥青, 混凝土
Utilities                PCG.*          :   0.85%  电力, 天然气
Healthcare               ILMN           :   0.85%  基因测序, 血液筛查, 癌症筛查
Real_Estate              NLY.*.++       :   0.85%  房地产投资信托, 抵押贷款
Technology               VRSN           :   0.85%  威瑞信, 域名注册, 互联网基础设施
Technology               INTA           :   0.84%  云计算, 企业软件, 为法律财务金融赋能, SaaS, 软件服务
Consumer_Cyclical        RUSHB.18       :   0.84%  商用车辆, 卡车, 销售, 汽车维修, 汽车保险
Energy                   EPD.++         :   0.84%  天然气, 天然气液体NGL, 储存管道服务, 能源行业
Real_Estate              ESS            :   0.84%  房地产, 公寓社区
Financial_Services       OWL.++         :   0.84%  资产管理, 直接贷款, 私募
